ia,Field1,id,country,ccode,year,region,protest,protestnum,startday,startmonth,startyear,endday,endmonth,endyear,protesterv,location,participan,protesteri,protesterd,proteste_1,proteste_2,proteste_3,staterespo,stateres_1,stateres_2,stateres_3,stateres_4,stateres_5,stateres_6,sources,notes,particip_1,FID_,FID_1,AD,LOCATION_1,FREQ,COUNTRY_1,MULT,LAT,LON,TYPE,GridIDs
231,297,4371999011,Ivory Coast,437,1999,7,1,11,28,10,1999,28,10,1999,1,Abidjan,50+,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
232,298,4371999012,Ivory Coast,437,1999,7,1,12,6,11,1999,6,11,1999,0,Abidjan,50+,Rally of Republicans (RDR),3,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
233,299,4371999013,Ivory Coast,437,1999,7,1,13,23,12,1999,23,12,1999,1,Abidjan,50+,soldiers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
234,300,4372000001,Ivory Coast,437,2000,7,1,1,4,7,2000,5,7,2000,1,"Abidjan, Bouake, Korhogo",50+,army officers,1,NA,NA,8,4,1,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,310,7,10,"Abidjan, Bouake, Korhogo",2,Ivory Coast,1,0,0,NA,641 675
235,301,4372000002,Ivory Coast,437,2000,7,1,2,31,7,2000,31,7,2000,0,"Abidjan, Bouake, Korhogo",50+,protesters,4,NA,NA,8,4,3,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,310,7,10,"Abidjan, Bouake, Korhogo",2,Ivory Coast,1,0,0,NA,641 675
236,302,4372000003,Ivory Coast,437,2000,7,1,3,23,10,2000,23,10,2000,0,Abidjan,100s,Laurent Gbagbo supporters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
237,303,4372000004,Ivory Coast,437,2000,7,1,4,24,10,2000,25,10,2000,1,National,100000s,protesters,4,NA,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,>10000,2,342,345,National,30,South Africa,1,-32.33137,22.50029,Admin,90 91 92 93 94 124 125 126 127 128 129 130 159 160 161 162 163 164 165 166 195 196 197 198 199 200 201 230 231 233 234 235 269 270
238,304,4372000005,Ivory Coast,437,2000,7,1,5,26,10,2000,26,10,2000,1,Abidjan,100s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
239,305,4372000006,Ivory Coast,437,2000,7,1,6,4,12,2000,4,12,2000,1,Abidjan,100s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
240,306,4372000007,Ivory Coast,437,2000,7,1,7,5,12,2000,5,12,2000,1,Abidjan,100s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
241,307,4372001001,Ivory Coast,437,2001,7,1,1,7,2,2001,8,2,2001,0,Abidjan,50+,students,5,1,NA,8,2,4,7,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
242,308,4372001002,Ivory Coast,437,2001,7,1,2,22,2,2001,22,2,2001,0,Abidjan,3000,student union,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
243,309,4372001003,Ivory Coast,437,2001,7,1,3,5,6,2001,5,6,2001,0,Abidjan,500,Air Afrique workers,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
244,310,4372001004,Ivory Coast,437,2001,7,1,4,24,7,2001,24,7,2001,0,Abidjan,200,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
245,311,4372001005,Ivory Coast,437,2001,7,1,5,27,8,2001,27,8,2001,0,Abidjan,100,soldiers,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
246,312,4372001006,Ivory Coast,437,2001,7,1,6,27,11,2001,27,11,2001,0,Abidjan,50+,workers,1,NA,NA,8,2,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
247,313,4372002001,Ivory Coast,437,2002,7,1,1,27,9,2002,27,9,2002,0,Bouake,1000+,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,223,64,67,Bouake,6,Ivory Coast,NA,7.69385,-5.03031,City,675
248,314,4372003001,Ivory Coast,437,2003,7,1,1,24,1,2003,6,2,2003,1,Abidjan,100000s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
249,315,4372003002,Ivory Coast,437,2003,7,1,2,2,2,2003,2,2,2003,1,Abidjan,1000s,protesters,3,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
250,316,4372003003,Ivory Coast,437,2003,7,1,3,5,10,2003,5,10,2003,0,Bouake,10000s,protesters,6,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,223,64,67,Bouake,6,Ivory Coast,NA,7.69385,-5.03031,City,675
251,317,4372004001,Ivory Coast,437,2004,7,1,1,25,3,2004,25,3,2004,0,Abidjan,100+,protesters,4,NA,NA,8,4,7,6,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
252,318,4372005001,Ivory Coast,437,2005,7,1,1,30,10,2005,30,10,2005,0,Abidjan,4000,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
253,319,4372006001,Ivory Coast,437,2006,7,1,1,26,6,2006,26,6,2006,1,Abidjan,50+,protesters,5,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
254,320,4372006002,Ivory Coast,437,2006,7,1,2,31,8,2006,31,8,2006,1,Abidjan,50+,students,3,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
255,321,4372006003,Ivory Coast,437,2006,7,1,3,7,9,2006,7,9,2006,1,Abidjan,100s,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
256,322,4372007001,Ivory Coast,437,2007,7,1,1,26,6,2007,26,6,2007,0,Abidjan,50+,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
257,323,4372007002,Ivory Coast,437,2007,7,1,2,3,9,2007,3,9,2007,1,Abidjan,100,protesters,3,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
258,324,4372007003,Ivory Coast,437,2007,7,1,3,18,12,2007,18,12,2007,1,Bouake,100,FN soldiers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,223,64,67,Bouake,6,Ivory Coast,NA,7.69385,-5.03031,City,675
259,325,4372007004,Ivory Coast,437,2007,7,1,4,26,12,2007,26,12,2007,1,Bouake,100,Dozo hunters,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,223,64,67,Bouake,6,Ivory Coast,NA,7.69385,-5.03031,City,675
260,326,4372008001,Ivory Coast,437,2008,7,1,1,25,3,2008,25,3,2008,1,"Duekoue, Guiglo",100s,soldiers,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,348,113,116,"Duekoue, Guiglo",1,Ivory Coast,1,0,0,NA,639 640
261,327,4372008002,Ivory Coast,437,2008,7,1,2,31,3,2008,1,4,2008,NA,Abidjan,100s,protesters,5,NA,NA,8,4,7,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
262,328,4372008003,Ivory Coast,437,2008,7,1,3,16,6,2008,16,6,2008,1,Bouake,100s,former rebels,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,223,64,67,Bouake,6,Ivory Coast,NA,7.69385,-5.03031,City,675
263,329,4372008004,Ivory Coast,437,2008,7,1,4,17,6,2008,17,6,2008,1,Bouake,100s,former rebels,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,223,64,67,Bouake,6,Ivory Coast,NA,7.69385,-5.03031,City,675
264,330,4372008005,Ivory Coast,437,2008,7,1,5,2,7,2008,2,7,2008,0,Seguela,300,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,224,405,408,Seguela,1,Ivory Coast,NA,7.96111,-6.67306,City,675
265,331,4372008006,Ivory Coast,437,2008,7,1,6,26,9,2008,26,9,2008,1,Abidjan,100,soldiers,1,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
266,333,4372010001,Ivory Coast,437,2010,7,1,1,15,2,2010,15,2,2010,0,Abidjan,100s,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
267,334,4372010002,Ivory Coast,437,2010,7,1,2,16,2,2010,23,2,2010,0,National,1000s,protesters,4,NA,NA,8,4,7,6,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,2,342,345,National,30,South Africa,1,-32.33137,22.50029,Admin,90 91 92 93 94 124 125 126 127 128 129 130 159 160 161 162 163 164 165 166 195 196 197 198 199 200 201 230 231 233 234 235 269 270
268,335,4372010003,Ivory Coast,437,2010,7,1,3,28,11,2010,29,11,2010,0,Abidjan,50+,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
269,336,4372010004,Ivory Coast,437,2010,7,1,4,5,12,2010,5,12,2010,1,"Abidjan, Bouake",50+,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,309,6,9,"Abidjan, Bouake",1,Ivory Coast,1,0,0,NA,641 675
270,337,4372010005,Ivory Coast,437,2010,7,1,5,6,12,2010,6,12,2010,1,Abidjan,50+,protesters,4,NA,NA,8,2,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
271,338,4372010006,Ivory Coast,437,2010,7,1,6,16,12,2010,16,12,2010,1,Abidjan,100s,opposition protesters,4,NA,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
272,339,4372011001,Ivory Coast,437,2011,7,1,1,19,2,2011,19,2,2011,0,Abidjan,100s,protesters,4,NA,NA,8,4,7,6,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
273,340,4372011002,Ivory Coast,437,2011,7,1,2,21,2,2011,21,2,2011,0,Abidjan,50+,protesters,4,NA,NA,8,4,7,6,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
274,341,4372011003,Ivory Coast,437,2011,7,1,3,1,3,2011,1,3,2011,0,Abidjan,50+,protesters,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
275,342,4372011004,Ivory Coast,437,2011,7,1,4,3,3,2011,3,3,2011,0,Abidjan,15000,women,4,NA,NA,8,7,6,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
276,343,4372011005,Ivory Coast,437,2011,7,1,5,8,3,2011,8,3,2011,0,Abidjan,100s,protesters,3,NA,NA,8,7,6,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,207,5,8,Abidjan,41,Ivory Coast,NA,5.30966,-4.01266,City,641
277,348,4382001001,Guinea,438,2001,7,1,1,4,11,2001,4,11,2001,0,Conakry,50+,"opposition militants, opponents of referendum",4,NA,NA,8,2,3,4,NA,NA,NA,NA,2.9E+11,3E+11,50-99,219,94,97,Conakry,1,Guinea,NA,9.53795,-13.67729,City,672
278,349,4382001002,Guinea,438,2001,7,1,2,7,11,2001,7,11,2001,1,"Conakry, Conakry Region",50+,youths,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
279,350,4382001003,Guinea,438,2001,7,1,3,11,12,2001,11,12,2001,0,"Mali, Labe region",200+,secondary school students,4,NA,NA,8,7,6,3,4,NA,NA,NA,2.9E+11,3E+11,100-999,239,258,261,"Mali, Labe region",1,Guinea,NA,12.08333,-12.08333,Admin,708
280,352,4382003001,Guinea,438,2003,7,1,1,10,3,2003,10,3,2003,1,"Conakry, Conakry Region",50+,protestors,5,NA,NA,8,2,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
281,353,4382004001,Guinea,438,2004,7,1,1,10,9,2004,20,9,2004,0,"Faranah, Faranah Region",200+,Students,1,NA,NA,8,2,3,4,NA,NA,NA,NA,2.9E+11,3E+11,100-999,237,124,127,"Faranah, Faranah Region",1,Guinea,NA,10.3375,-10.69583,Admin,708
282,354,4382004002,Guinea,438,2004,7,1,2,18,9,2004,18,9,2004,0,"Conakry, Conakry Region",50+,Democratic Forces of Guinea (UFDG),4,7,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
283,355,4382004003,Guinea,438,2004,7,1,3,2,11,2004,2,11,2004,1,"Pita, Labe Region",50+,protestors,5,NA,NA,8,7,6,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,434,383,386,"Pita, Labe Region",1,Guinea,NA,0,0,NA,707
284,356,4382004004,Guinea,438,2004,7,1,4,29,12,2004,29,12,2004,1,"Fria, Kindia Region",50_,demonstrators,1,NA,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,50-99,354,130,133,"Fria, Kindia Region",1,Guinea,NA,0,0,NA,707
285,358,4382006001,Guinea,438,2006,7,1,1,21,2,2006,22,2,2006,0,"Gueckedou, Nzí©rí©korí© Region",50+,townspeople,4,NA,NA,8,1,6,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,361,148,151,"Gueckedou, Nzí©rí©korí© Region",2,Guinea,NA,0,0,NA,673
286,359,4382006002,Guinea,438,2006,7,1,2,1,3,2006,1,3,2006,1,"Conakry, Conakry Region",50+,supporters of strike,5,NA,NA,8,7,6,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
287,360,4382006003,Guinea,438,2006,7,1,3,6,5,2006,6,5,2006,1,"Mamou, Mamou Region",50+,"students, local residents",4,NA,NA,8,2,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,240,259,262,"Mamou, Mamou Region",2,Guinea,NA,10.69444,-12.29444,Admin,708
288,361,4382006004,Guinea,438,2006,7,1,4,12,6,2006,12,6,2006,1,national,100+,Students,4,NA,NA,8,4,7,6,NA,NA,NA,NA,2.9E+11,3E+11,100-999,7,326,329,national,37,Lesotho,1,-29.45066,27.72312,Admin,128 129 163 164
289,362,4382006005,Guinea,438,2006,7,1,5,13,6,2006,13,6,2006,1,"Conakry, Conakry Region",50+,Students,4,NA,NA,8,7,6,3,4,NA,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
290,363,4382006006,Guinea,438,2006,7,1,6,28,12,2006,29,12,2006,1,"Kamsar, Boke Region",100,women,1,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,235,177,180,"Kamsar, Boke Region",2,Guinea,NA,10.66667,-14.6,City,707
291,364,4382007001,Guinea,438,2007,7,1,1,13,1,2007,13,1,2007,1,"Conakry, Conakry Region",100+,young people,4,NA,NA,8,3,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
292,365,4382007002,Guinea,438,2007,7,1,2,15,1,2007,25,1,2007,1,national,2000+,union leaders,4,6,NA,8,2,4,7,6,1,NA,NA,2.9E+11,3E+11,2000-4999,7,326,329,national,37,Lesotho,1,-29.45066,27.72312,Admin,128 129 163 164
293,366,4382007003,Guinea,438,2007,7,1,3,9,2,2007,3,9,2007,1,"Duinguiraye, Faranah Region",3000-4000,protestors,6,NA,NA,8,7,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,349,114,117,"Duinguiraye, Faranah Region",1,Guinea,NA,0,0,NA,708
294,367,4382007004,Guinea,438,2007,7,1,4,10,2,2007,13,2,2007,1,national,1000s,demonstrators,4,6,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,7,326,329,national,37,Lesotho,1,-29.45066,27.72312,Admin,128 129 163 164
295,368,4382007005,Guinea,438,2007,7,1,5,2,5,2007,3,5,2007,1,national,100+,soldiers,1,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,7,326,329,national,37,Lesotho,1,-29.45066,27.72312,Admin,128 129 163 164
296,369,4382007006,Guinea,438,2007,7,1,6,10,5,2007,12,5,2007,1,national,100+,soldiers,1,NA,NA,8,1,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,7,326,329,national,37,Lesotho,1,-29.45066,27.72312,Admin,128 129 163 164
297,370,4382007007,Guinea,438,2007,7,1,7,22,5,2007,22,5,2007,0,"Boke, Boke Region",50+,students,4,NA,NA,8,4,3,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,234,62,65,"Boke, Boke Region",2,Guinea,NA,11.2,-13.70667,Admin,707
298,371,4382007008,Guinea,438,2007,7,1,8,18,9,2007,18,9,2007,1,"Conakry, Conakry Region",1000s,demonstrators,5,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
299,372,4382008001,Guinea,438,2008,7,1,1,4,1,2008,4,1,2008,1,national,50+,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,7,326,329,national,37,Lesotho,1,-29.45066,27.72312,Admin,128 129 163 164
300,373,4382008002,Guinea,438,2008,7,1,2,26,5,2008,30,5,2008,1,national,100s,soldiers,4,6,1,8,4,1,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,7,326,329,national,37,Lesotho,1,-29.45066,27.72312,Admin,128 129 163 164
301,374,4382008003,Guinea,438,2008,7,1,3,16,6,2008,18,6,2008,1,"Conakry, Conakry Region",50+,police,1,NA,NA,8,2,5,7,6,4,1,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
302,375,4382008004,Guinea,438,2008,7,1,4,7,9,2008,8,9,2008,1,"Conakry, Conakry Region",50+,youths,4,NA,NA,8,2,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
303,376,4382008005,Guinea,438,2008,7,1,5,31,10,2008,31,10,2008,1,"Boke, Boke Region",100+,youths,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,234,62,65,"Boke, Boke Region",2,Guinea,NA,11.2,-13.70667,Admin,707
304,377,4382008006,Guinea,438,2008,7,1,6,3,11,2008,4,11,2008,1,"Conakry, Conakry Region",100+,demonstrators,5,NA,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,100-999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
305,378,4382009001,Guinea,438,2009,7,1,1,27,8,2009,27,8,2009,1,"Conakry, Conakry Region",50+,Dadis Must Go Movement,4,NA,NA,8,2,3,4,NA,NA,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
306,379,4382009002,Guinea,438,2009,7,1,2,30,8,2009,30,8,2009,0,"Conakry, Conakry Region",100+,Dadis Must Go Movement,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
307,380,4382009003,Guinea,438,2009,7,1,3,24,9,2009,24,9,2009,0,"Labe, Labe Region",20000,protestors,4,NA,NA,8,5,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,>10000,238,231,234,"Labe, Labe Region",3,Guinea,NA,11.31823,-12.28332,City,708
308,381,4382009004,Guinea,438,2009,7,1,4,28,9,2009,28,9,2009,1,"Conakry, Conakry Region",50000,opposition parties,4,NA,NA,8,2,7,6,3,4,NA,NA,2.9E+11,3E+11,>10000,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
309,382,4382010001,Guinea,438,2010,7,1,1,5,7,2010,5,7,2010,0,"Conakry, Conakry Region",3000,supporters of Sidya Toure,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
310,383,4382011001,Guinea,438,2011,7,1,1,27,9,2011,27,9,2011,1,"Conakry, Conakry Region",50+,political opposition,4,NA,NA,8,2,7,6,3,4,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
311,384,4382012001,Guinea,438,2012,7,1,1,17,1,2012,17,11,2012,1,"Kamsar, Boke Region",1000+,protestors,4,NA,NA,8,2,7,6,NA,NA,NA,NA,2.9E+11,3E+11,1000-1999,235,177,180,"Kamsar, Boke Region",2,Guinea,NA,10.66667,-14.6,City,707
312,385,4382012002,Guinea,438,2012,7,1,2,26,1,2012,26,11,2012,1,"Kindia, Kindia Region",100+,protestors,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,236,206,209,"Kindia, Kindia Region",1,Guinea,NA,10.05692,-12.86576,City,707
313,386,4382012003,Guinea,438,2012,7,1,3,17,3,2012,17,3,2012,1,"Conakry, Conakry Region",50+,opposition parties,4,NA,NA,8,4,2,NA,NA,NA,NA,NA,2.9E+11,3E+11,50-99,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
314,387,4382012004,Guinea,438,2012,7,1,4,19,4,2012,19,4,2012,0,"Conakry, Conakry Region",200,women of the opposition,4,NA,NA,8,2,3,4,NA,NA,NA,NA,2.9E+11,3E+11,100-999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
315,388,4382012005,Guinea,438,2012,7,1,5,10,5,2012,10,5,2012,1,"Conakry, Conakry Region",1000s,opposition leaders,4,NA,NA,8,2,3,4,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
316,389,4382012006,Guinea,438,2012,7,1,6,25,7,2012,25,7,2012,0,"Conakry, Conakry Region",200+,data entry operators,1,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
317,390,4382012007,Guinea,438,2012,7,1,7,7,8,2012,7,8,2012,1,"Siguiri, Kankan Region",50+,protesters,4,NA,NA,8,7,6,4,NA,NA,NA,NA,2.9E+11,3E+11,50-99,241,410,413,"Siguiri, Kankan Region",1,Guinea,NA,11.66667,-9.5,Admin,709
318,391,4382012008,Guinea,438,2012,7,1,8,13,8,2012,13,8,2012,0,"Conakry, Conakry Region",100,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
319,392,4382012009,Guinea,438,2012,7,1,9,20,9,2012,20,9,2012,0,"Conakry, Conakry Region",1000s,opposition supporters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,2000-4999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
320,393,4382012010,Guinea,438,2012,7,1,10,29,9,2012,29,9,2012,1,"Conakry, Conakry Region",100+,young opposition supporters,3,NA,NA,8,3,4,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,220,95,98,"Conakry, Conakry Region",35,Guinea,NA,9.53795,-13.67729,City,672
321,394,4382012011,Guinea,438,2012,7,1,11,29,10,2012,29,10,2012,0,"Labe, Labe Region",100+,protesters,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,2.9E+11,3E+11,100-999,238,231,234,"Labe, Labe Region",3,Guinea,NA,11.31823,-12.28332,City,708
322,395,4382012012,Guinea,438,2012,7,1,12,11,12,2012,12,12,2012,0,"Gueckedou, Nzí©rí©korí© Region",1000s,protesters,NA,NA,NA,8,7,6,3,4,NA,NA,NA,2.9E+11,3E+11,2000-4999,361,148,151,"Gueckedou, Nzí©rí©korí© Region",2,Guinea,NA,0,0,NA,673
